method,roi_id,roi_coords,mean_brightness,brightness_std,edge_strength
Original,1,"448,48,160,144",108.86440972222222,26.92235525541542,854173.9137805516
Global,1,"448,48,160,144",63.395833333333336,110.21300202776541,3003299.769269787
Improved,1,"448,48,160,144",138.00325520833334,127.06664247562624,3901456.5637697955
Original,2,"64,144,256,192",84.77695719401042,25.366115486904523,3620857.4820017116
Global,2,"64,144,256,192",2.74444580078125,26.31162664005768,683934.0437395548
Improved,2,"64,144,256,192",190.55999755859375,110.81374782900427,10768511.845517728
Original,3,"32,24,128,384",76.20021565755208,35.13769205726301,2994998.1177810137
Global,3,"32,24,128,384",2.13226318359375,23.220261960888745,1021071.2790627107
Improved,3,"32,24,128,384",178.4149169921875,116.89277662746598,9506837.473734744
