name,deltaE_mean,deltaE_max,ssim_score,diff_mean
rgb_he,37.26371765136719,64.35247039794922,0.2135082625246108,104.615078125
y_he,34.361045837402344,64.00543975830078,0.21199529837567893,104.038623046875
clahe,6.6141557693481445,45.15169906616211,0.6045364450409106,22.058902994791666
