rms_contrast,edge_strength,mean_brightness,brightness_std,method,roi_id,roi_coords
48.32633142421759,873312.5215351459,120.95363136574075,50.02652745202379,Original,1,"64,256,96,96"
28.181909215819868,393437.5018817911,232.13885271990742,29.690157010978,RGB-HE,1,"64,256,96,96"
30.255629189217565,380235.8805954807,230.94581886574073,31.236784726920707,Y(yuv)-HE,1,"64,256,96,96"
56.8046561508048,1146392.3158777615,156.9814091435185,58.00746979939914,CLAHE,1,"64,256,96,96"
0.4442017210338397,2263.9191486261275,0.1618923611111111,0.44420172103383965,Original,2,"448,96,96,96"
9.096132076261558,45659.79756355241,24.52228009259259,13.711628745584287,RGB-HE,2,"448,96,96,96"
7.158160843845663,35399.69563905915,16.48220486111111,7.158160843845663,Y(yuv)-HE,2,"448,96,96,96"
1.573062439919789,9029.541488046962,4.566514756944445,1.573062439919789,CLAHE,2,"448,96,96,96"
57.62818768417189,1258694.5211208477,82.20070167824075,67.72343563046174,Original,3,"256,352,96,96"
52.638406763410316,1152741.4465561772,201.87684461805554,52.82504153899744,RGB-HE,3,"256,352,96,96"
40.48074659587793,847759.1379057894,196.9351490162037,45.63431804985546,Y(yuv)-HE,3,"256,352,96,96"
72.37926924252871,1581624.6020426834,114.78381799768519,78.26608392494185,CLAHE,3,"256,352,96,96"
